respondent_id,age,income,rating,completion_time_sec
1,22,5159.45,3,386
2,58,5286.28,5,236
3,52,4914.41,4,306
4,40,4517.175,4,125
5,40,4517.175,4,39
6,62,4581.53,1,433
7,22,3792.34,5,202
8,54,5189.08,5,265
9,28,5552.93,1,154
10,22,4517.175,3,151
11,45,5640.2,5,299
12,68,4843.82,3,232
13,56,5295.1,5,365
14,57,4517.175,5,374
15,55,4230.58,3,359
16,58,4795.16,1,349
17,44,5730.79,2,509
18,24,3909.39,2,192
19,61,5281.75,3,313
20,44,4517.175,3,456
21,44,4323.69,3,472
22,37,5744.28,1,149
23,27,1510.41,2,283
24,66,2555.29,4,483
25,58,2276.72,1,381
26,51,999.58,2,343
27,38,3482.6,5,294
28,60,4517.175,1,274
29,46,4072.67,3,355
30,41,4796.69,2,290
31,41,6133.83,1,315
32,29,6491.53,3,329
33,22,4396.29,5,239
34,46,6530.38,1,384
35,64,4638.19,1,318
36,21,3243.9,1,107
37,62,3608.4,4,359
38,61,4517.175,5,229
39,32,4517.175,1,389
40,50,3962.97,2,326
41,26,5705.38,2,411
42,57,7081.15,2,461
43,54,2426.73,5,343
44,36,5089.24,1,456
45,21,4517.175,5,39
46,68,5212.05,2,511
47,41,4303.37,2,365
48,64,1753.64,2,449
49,53,5892.45,5,174
50,58,3592.5,4,220
51,57,3699.15,3,338
52,28,2895.37,2,318
53,36,3518.58,5,354
54,42,5141.84,5,450
55,43,4216.13,1,108
56,20,4992.99,5,437
57,46,5042.88,4,321
58,26,6480.99,1,296
59,56,3985.82,4,143
60,53,2284.71,1,380
61,65,6100.83,1,30
62,56,4517.175,1,398
63,37,6171.89,3,141
64,68,5075.07,5,326
65,39,4303.29,3,306
66,34,5023.16,1,460
67,65,7426.52,1,299
68,37,7615.47,5,237
69,21,4604.07,5,259
70,42,4740.29,4,10
71,59,6114.36,1,384
72,27,3231.51,5,274
73,42,4517.175,4,292
74,24,4461.21,3,132
75,53,4970.86,1,367
76,42,3249.95,5,109
77,35,2115.65,3,410
78,29,1390.52,1,335
79,47,2823.92,5,606
80,52,4517.175,3,188
81,66,4060.21,1,308
82,40,7405.85,2,536
83,26,4517.175,3,463
84,61,3056.86,5,236
85,50,5021.56,1,347
86,44,3889.38,3,320
87,23,4073.45,5,354
88,34,4777.99,5,236
89,57,5428.76,5,309
90,61,3991.11,1,128
91,40,6095.78,5,336
92,59,2787.09,5,374
93,61,4509.51,2,293
94,38,4517.175,3,126
95,64,4834.62,3,439
96,32,6649.82,3,364
97,30,4637.28,2,233
98,53,5371.17,5,286
99,51,4414.83,5,140
100,25,4244.39,2,197
101,61,3330.78,5,255
102,28,5145.45,2,467
103,59,3222.69,4,243
104,18,5498.38,3,397
105,59,6127.93,3,255
106,58,5049.8,1,350
107,58,4070.63,4,303
108,52,5180.95,2,425
109,42,4036.99,2,256
110,54,5903.32,1,131
111,32,1752.89,5,154
112,58,3996.59,1,256
113,46,1513.78,4,170
114,41,2257.41,5,369
115,44,4517.175,1,264
116,47,5842.78,3,605
117,19,3420.78,3,111
118,25,2246.24,2,344
119,30,4517.175,4,185
120,23,3684.76,3,261
121,40,8130.62,3,337
122,52,4517.175,3,41
123,52,3660.64,5,348
124,42,5197.62,4,548
125,62,2158.56,2,266
126,47,4054.01,5,351
127,22,4649.22,5,443
128,57,4370.85,5,300
129,47,5686.21,4,250
130,51,5016.97,2,47
131,47,5502.49,4,397
132,46,3467.44,2,306
133,22,5846.72,2,198
134,47,6943.41,3,335
135,59,3044.78,5,250
136,33,3168.46,3,257
137,49,6503.68,2,393
138,19,4212.98,3,159
139,36,4517.175,2,446
140,40,3836.2,4,152
141,69,6682.57,2,240
142,29,4517.175,3,551
143,32,4517.175,2,455
144,39,6847.08,2,332
145,69,3957.34,5,207
146,62,3088.32,2,256
147,19,3827.15,1,329
148,30,4517.175,2,325
149,60,2151.36,3,309
150,21,5456.21,1,316
151,62,3691.84,2,294
152,32,6221.72,1,147
153,65,908.61,3,258
154,33,4517.175,5,430
155,40,1970.3,5,156
156,52,4517.175,2,297
157,24,4871.5,5,222
158,46,4231.16,2,333
159,44,4119.93,4,273
160,58,4261.22,3,497
161,69,4805.08,4,381
162,52,2987.2,4,163
163,39,5560.27,3,401
164,39,5494.0,5,227
165,39,5077.56,3,251
166,60,5334.8,5,358
167,34,4944.63,5,261
168,26,7552.61,5,427
169,35,4369.36,1,227
170,19,4039.38,3,246
171,23,3369.71,1,241
172,22,2951.61,4,252
173,58,2633.29,5,452
174,55,3166.8,1,395
175,54,4393.98,4,525
176,42,5001.44,5,592
177,55,4576.71,5,196
178,26,3351.7,2,328
179,64,5850.28,1,179
180,44,5609.12,5,227
181,66,4260.53,5,244
182,25,3520.63,3,193
183,43,5322.64,5,194
184,54,4781.96,1,303
185,43,2327.81,4,174
186,41,4398.03,1,421
187,26,4893.05,5,210
188,37,3150.46,4,318
189,30,4784.77,5,266
190,33,2317.77,3,329
191,44,6504.28,1,165
192,50,6371.92,1,525
193,49,4121.22,2,454
194,36,5045.18,4,356
195,67,885.12,1,158
196,22,2765.48,5,345
197,35,4059.33,2,185
198,24,2891.8,3,495
199,35,5571.59,2,417
200,68,4517.175,3,331
201,37,2735.08,3,28
202,65,3243.8,1,202
203,43,4853.17,3,403
204,54,6916.67,4,466
205,44,2666.44,5,453
206,31,4873.55,2,129
207,57,7231.95,5,356
208,68,2022.36,5,442
209,31,2578.4,5,121
210,44,3864.59,2,319
211,31,3719.12,5,353
212,55,5718.9,3,284
213,59,4862.49,1,98
214,41,1837.56,2,281
215,56,5273.12,4,281
216,32,4517.175,1,302
217,22,6411.67,3,252
218,23,3558.62,4,267
219,41,3545.08,5,315
220,64,5311.7,3,373
221,24,5644.39,2,283
222,41,5172.15,3,271
223,54,4517.175,2,331
224,28,5307.05,5,89
225,55,2948.54,1,377
226,33,4852.91,5,320
227,44,2364.4,4,325
228,48,5169.48,5,435
229,46,3290.1,5,86
230,27,2576.05,1,83
231,42,5570.73,5,353
232,62,4862.47,3,319
233,19,3579.03,5,340
234,57,6676.77,5,265
235,43,3839.02,3,400
236,55,4548.16,2,432
237,52,4903.37,1,378
238,40,3570.5,1,289
239,34,4517.175,2,67
240,50,3699.82,5,412
241,25,3882.54,3,467
242,48,6543.96,3,397
243,22,2939.12,2,214
244,51,880.83,3,401
245,50,6916.41,4,423
246,22,4517.175,5,507
247,57,3892.1,4,215
248,39,1594.74,4,293
249,58,4034.27,5,410
250,20,4070.67,3,327
251,27,4215.11,5,186
252,43,2829.92,2,370
253,27,5369.34,1,389
254,35,5286.76,3,331
255,52,2258.39,1,346
256,25,5548.8,1,289
257,53,7579.03,5,497
258,23,4517.175,4,212
259,44,3994.01,2,250
260,48,4287.0,5,321
261,59,5422.89,1,425
262,26,1903.99,2,140
263,33,4746.59,4,163
264,66,4517.175,2,75
265,69,7271.74,4,324
266,48,4238.74,5,186
267,41,4517.175,1,274
268,36,2844.39,1,399
269,49,5380.89,5,243
270,48,4979.1,3,348
271,33,3196.43,3,284
272,19,4766.09,3,401
273,25,6318.78,3,377
274,67,4014.31,4,237
275,39,1962.06,3,300
276,43,4473.66,1,445
277,42,3146.37,4,367
278,58,3986.49,4,152
279,21,4377.62,1,399
280,22,1941.52,2,190
281,32,2076.51,4,490
282,43,4517.175,4,443
283,52,3715.92,1,355
284,43,4517.175,1,339
285,40,5677.27,3,295
286,66,4908.55,3,401
287,26,4517.175,5,276
288,47,2524.75,3,348
289,46,5753.71,5,425
290,42,5024.03,2,253
291,59,8073.9,3,246
292,31,5130.28,1,177
293,67,5081.55,3,192
294,35,4249.61,1,101
295,46,5725.16,3,408
296,45,5437.63,2,537
297,62,6377.59,1,491
298,40,3718.02,1,125
299,32,3846.89,3,407
300,19,3781.35,5,491
301,36,5686.2,1,265
302,60,4517.175,3,332
303,18,3811.74,2,79
304,64,3862.84,5,352
305,46,4971.12,3,192
306,25,4131.36,5,344
307,33,5928.08,2,133
308,46,1122.33,1,385
309,34,3259.94,3,443
310,23,4517.175,4,226
311,52,4517.175,5,184
312,52,3054.54,5,61
313,24,3127.27,5,288
314,32,4198.34,4,250
315,30,6169.45,2,134
316,52,4132.41,3,374
317,55,2953.78,1,266
318,55,4414.57,3,191
319,66,4517.175,2,253
320,57,3036.06,1,10
321,34,3134.14,2,392
322,23,5337.82,3,304
323,49,4167.7,2,394
324,65,5471.23,5,181
325,68,4479.53,3,324
326,29,5552.5,5,338
327,30,2947.38,4,264
328,19,4517.175,1,372
329,25,4183.96,2,226
330,46,2676.16,4,381
331,46,2154.78,3,386
332,37,5528.62,2,10
333,34,3973.57,3,463
334,61,2966.58,5,10
335,41,4355.73,2,246
336,60,6192.03,1,443
337,68,1078.89,2,282
338,34,2255.04,5,144
339,28,3115.67,4,189
340,67,6691.77,5,443
341,51,4923.88,5,89
342,33,5650.98,1,455
343,50,2789.76,2,313
344,44,2820.7,1,177
345,65,5171.72,1,250
346,31,4587.41,5,198
347,69,4517.175,5,424
348,66,4218.49,1,408
349,27,4917.22,4,114
350,26,4737.18,3,272
351,45,5666.65,1,216
352,20,5710.51,5,475
353,33,2070.19,5,158
